row,energy_gray,static_noise_gray,snr,consistency,in_chosen_band,in_incumbent_band
86,32.926,2.996,10.99,1.0,0,0
87,32.966,3.012,10.947,1.0,0,0
88,32.418,3.002,10.797,1.0,0,0
89,32.215,3.012,10.694,1.0,0,0
90,32.024,3.015,10.62,1.0,0,0
91,31.745,3.052,10.402,1.0,0,0
92,31.325,3.076,10.182,1.0,0,0
93,31.436,3.102,10.134,1.0,0,0
94,31.517,3.087,10.208,1.0,0,0
95,31.518,3.123,10.093,1.0,0,0
96,31.325,3.131,10.006,1.0,0,0
97,31.048,3.138,9.895,1.0,0,0
98,30.951,3.094,10.004,1.0,0,0
99,30.716,3.129,9.817,1.0,0,0
100,30.581,3.131,9.767,1.0,0,0
101,30.947,3.119,9.924,1.0,0,0
102,30.954,3.137,9.866,1.0,0,0
103,30.752,3.177,9.678,1.0,0,0
104,30.625,3.197,9.579,1.0,0,0
105,30.36,3.161,9.605,1.0,0,0
106,30.011,3.167,9.476,1.0,0,0
107,29.775,3.198,9.309,1.0,0,0
108,29.405,3.209,9.164,1.0,0,0
109,28.957,3.227,8.975,1.0,0,0
110,28.683,3.261,8.794,1.0,0,0
111,28.447,3.326,8.554,1.0,0,0
112,28.375,3.264,8.693,1.0,0,0
113,28.042,3.248,8.635,1.0,0,0
114,28.208,3.281,8.597,1.0,0,0
115,28.17,3.328,8.465,1.0,0,0
116,28.682,3.308,8.672,1.0,0,0
117,28.632,3.341,8.569,0.75,0,0
118,28.627,3.4,8.42,0.75,0,0
119,28.736,3.449,8.332,0.75,0,0
120,28.903,3.446,8.389,0.75,0,0
121,28.911,3.486,8.294,0.75,0,0
122,28.831,3.539,8.147,0.75,0,0
123,28.734,3.56,8.072,0.75,0,0
124,29.081,3.585,8.111,0.75,0,0
125,28.852,3.651,7.902,0.75,0,0
126,28.363,3.69,7.687,0.75,0,0
127,28.501,3.748,7.605,0.75,0,0
128,28.589,3.744,7.637,0.75,0,0
129,28.861,3.789,7.617,0.75,0,0
130,29.134,3.796,7.675,0.75,0,0
131,28.867,3.894,7.413,0.75,0,0
132,28.945,3.922,7.381,0.5,0,0
133,29.102,3.918,7.428,0.5,0,0
134,28.813,3.953,7.289,0.5,0,0
135,28.896,3.981,7.259,0.5,0,0
136,29.227,4.027,7.258,0.5,0,0
137,28.955,4.018,7.206,0.5,0,0
138,29.19,4.05,7.207,0.5,0,0
139,29.03,4.124,7.039,0.5,0,0
140,29.073,4.19,6.939,0.5,0,0
141,29.384,4.203,6.991,0.5,0,0
142,28.943,4.201,6.889,0.5,0,0
143,29.054,4.293,6.768,0.5,0,0
144,29.335,4.298,6.825,0.5,0,0
145,29.075,4.275,6.801,0.5,0,0
146,29.423,4.309,6.829,0.5,0,0
147,29.649,4.343,6.827,0.5,0,0
148,29.972,4.359,6.876,0.5,0,0
149,30.481,4.326,7.046,0.5,0,0
150,30.826,4.372,7.051,0.5,0,0
151,30.605,4.471,6.846,0.5,0,0
152,30.384,4.482,6.778,0.5,0,0
153,30.884,4.494,6.873,0.5,0,0
154,31.441,4.517,6.961,0.5,0,0
155,31.855,4.617,6.9,0.5,0,0
156,32.206,4.617,6.976,0.5,0,0
